Result Number,EE_DISPLAY_ID,EE_ORDERING_ID,DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Browse Exists,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec
1,LO80660012014087LGN00,LO80660012014087LGN00,1,N,LO80660012014087LGN00, 066, 001, 066, 001,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:48:52.7493252,2014:087:20:49:24.7496424,9,2.84,10.87818323,-145.49372811,6.524,6.473,Yes,80°47'45.85"N,97°10'58.76"W,81°57'25.92"N,94°30'21.02"W,80°21'46.33"N,90°08'33.94"W,79°36'56.84"N,99°19'16.25"W,81°04'58.26"N,104°47'52.04"W,80.79607,-97.18299,81.9572,-94.50584,80.36287,-90.14276,79.61579,-99.32118,81.08285,-104.79779
2,LO80500712014087LGN00,LO80500712014087LGN00,1,N,LO80500712014087LGN00, 050, 071, 050, 071,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:19:37:52.7067252,2014:087:19:38:24.7070424,9,9.12,54.42864928,60.326908,6.457,5.223,Yes,15°54'02.41"S,143°42'06.84"W,14°51'05.04"S,144°22'41.81"W,15°12'56.56"S,142°38'16.15"W,16°57'13.72"S,143°01'05.88"W,16°35'06.76"S,144°46'26.26"W,-15.90067,-143.7019,-14.8514,-144.37828,-15.21571,-142.63782,-16.95381,-143.0183,-16.58521,-144.77396
3,LO80820112014087LGN00,LO80820112014087LGN00,1,N,LO80820112014087LGN00, 082, 011, 082, 011,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:22:31:44.8110444,2014:087:22:32:16.8113616,9,.84,23.65676467,174.05208403,19.778,18.177,Yes,69°36'23.26"N,162°13'19.27"W,70°45'38.56"N,163°27'52.74"W,70°00'04.54"N,158°50'50.64"W,68°26'06.86"N,161°07'33.13"W,69°08'58.99"N,165°28'13.69"W,69.60646,-162.22202,70.76071,-163.46465,70.00126,-158.8474,68.43524,-161.12587,69.14972,-165.47047
4,LO80820122014087LGN00,LO80820122014087LGN00,1,N,LO80820122014087LGN00, 082, 012, 082, 012,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:22:32:08.8112808,2014:087:22:32:40.8116040,9,1.62,24.91244165,172.24579439,6.833,6.641,Yes,68°16'46.42"N,163°54'23.00"W,69°25'24.28"N,165°08'57.98"W,68°42'18.68"N,160°45'32.18"W,67°07'05.16"N,162°47'56.83"W,67°47'49.70"N,166°56'12.48"W,68.27956,-163.90639,69.42341,-165.14944,68.70519,-160.75894,67.1181,-162.79912,67.79714,-166.9368
5,LO80820132014087LGN00,LO80820132014087LGN00,1,N,LO80820132014087LGN00, 082, 013, 082, 013,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:22:32:32.8115232,2014:087:22:33:04.8118404,9,3.91,26.16374796,170.59178216,6.568,7.456,Yes,66°56'20.33"N,165°24'57.85"W,68°04'24.06"N,166°38'59.82"W,67°23'28.72"N,162°28'08.40"W,65°47'11.62"N,164°18'27.07"W,66°26'03.77"N,168°15'18.32"W,66.93898,-165.41607,68.07335,-166.64995,67.39131,-162.469,65.78656,-164.30752,66.43438,-168.25509
6,LO80660112014087LGN00,LO80660112014087LGN00,1,N,LO80660112014087LGN00, 066, 011, 066, 011,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:52:51.7517151,2014:087:20:53:23.7520323,9,1.05,23.62993386,174.04474241,9.436,9.954,Yes,69°36'22.46"N,137°30'13.97"W,70°45'37.73"N,138°44'49.38"W,70°00'03.60"N,134°07'44.76"W,68°26'06.11"N,136°24'26.06"W,69°08'58.34"N,140°45'09.07"W,69.60624,-137.50388,70.76048,-138.74705,70.001,-134.1291,68.43503,-136.40724,69.14954,-140.75252
7,LO80660122014087LGN00,LO80660122014087LGN00,1,N,LO80660122014087LGN00, 066, 012, 066, 012,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:53:15.7519515,2014:087:20:53:47.7522747,9,1.52,24.88507088,172.23964865,8.436,8.234,Yes,68°16'47.39"N,139°11'14.93"W,69°25'25.25"N,140°25'52.32"W,68°42'19.30"N,136°02'22.52"W,67°07'05.99"N,138°04'46.52"W,67°47'50.93"N,142°13'05.99"W,68.27983,-139.18748,69.42368,-140.4312,68.70536,-136.03959,67.11833,-138.07959,67.79748,-142.21833
8,LO80660132014087LGN00,LO80660132014087LGN00,1,N,LO80660132014087LGN00, 066, 013, 066, 013,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:53:39.7521939,2014:087:20:54:11.7525111,9,3.79,26.13630895,170.58614175,6.803,7.042,Yes,66°56'21.30"N,140°41'49.31"W,68°04'24.67"N,141°55'49.19"W,67°23'30.34"N,137°45'02.12"W,65°47'12.98"N,139°35'20.47"W,66°26'04.24"N,143°32'07.55"W,66.93925,-140.69703,68.07352,-141.93033,67.39176,-137.75059,65.78694,-139.58902,66.43451,-143.53543
9,LO80660142014087LGN00,LO80660142014087LGN00,1,N,LO80660142014087LGN00, 066, 014, 066, 014,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:54:03.7524303,2014:087:20:54:35.7527535,9,6.76,27.38280622,169.05659144,6.084,5.699,Yes,65°35'14.06"N,142°03'33.44"W,66°42'46.08"N,143°16'35.76"W,66°03'46.98"N,139°17'26.09"W,64°26'35.84"N,140°57'26.75"W,65°03'47.20"N,144°43'42.96"W,65.58724,-142.05929,66.7128,-143.2766,66.06305,-139.29058,64.44329,-140.95743,65.06311,-144.7286
10,LO80660152014087LGN00,LO80660152014087LGN00,1,N,LO80660152014087LGN00, 066, 015, 066, 015,NADIR,FULL,NOMINAL,-.001,LGN,DAY,Level 1T,OLI,2014/03/28,2014:087:20:54:27.7526727,2014:087:20:54:59.7529959,9,4.52,28.62449054,167.6274623,6.482,7.592,Yes,64°13'30.72"N,143°17'48.12"W,65°20'34.19"N,144°29'35.77"W,64°43'17.94"N,140°41'11.76"W,63°05'20.33"N,142°12'23.26"W,63°41'02.18"N,145°48'55.76"W,64.2252,-143.2967,65.34283,-144.49327,64.72165,-140.6866,63.08898,-142.20646,63.68394,-145.81549
