DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Browse Exists,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Entity ID,Display ID,Ordering ID
1,N,LC80090482014216LGN00,9,48,9,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,8/4/14,2014:216:15:15:04.5490404,2014:216:15:15:36.5493636,9,9.72,65.3106438,86.33018211,4.499,5.912,Yes,"17¡20'39.88""N","73¡10'18.73""W","18¡23'30.52""N","73¡51'15.37""W","18¡01'35.51""N","72¡05'48.73""W","16¡17'11.72""N","72¡29'58.78""W","16¡39'14.08""N","74¡14'24.65""W",17.34441,-73.17187,18.39181,-73.85427,18.02653,-72.09687,16.28659,-72.49966,16.65391,-74.24018,LC80090482014216LGN00,LC80090482014216LGN00,LC80090482014216LGN00
1,N,LC80090462014216LGN00,9,46,9,46,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,8/4/14,2014:216:15:14:17.5485717,2014:216:15:14:48.5488848,9,3.5,65.77228259,92.78514158,4.866,6.22,Yes,"20¡13'47.82""N","72¡30'34.78""W","21¡16'39.68""N","73¡12'12.20""W","20¡54'34.85""N","71¡24'50.04""W","19¡10'16.46""N","71¡49'40.26""W","19¡32'27.64""N","73¡35'49.70""W",20.22995,-72.50966,21.27769,-73.20339,20.90968,-71.4139,19.17124,-71.82785,19.54101,-73.59714,LC80090462014216LGN00,LC80090462014216LGN00,LC80090462014216LGN00
1,N,LC80090452014216LGN00,9,45,9,45,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,8/4/14,2014:216:15:13:53.5483353,2014:216:15:14:24.5486424,9,9.41,65.88286206,96.09490469,6.225,5.767,Yes,"21¡40'18.05""N","72¡10'20.35""W","22¡43'10.70""N","72¡52'20.21""W","22¡21'00.43""N","71¡03'53.86""W","20¡36'44.82""N","71¡29'06.79""W","20¡59'00.89""N","73¡16'14.09""W",21.67168,-72.17232,22.71964,-72.87228,22.35012,-71.06496,20.61245,-71.48522,20.98358,-73.27058,LC80090452014216LGN00,LC80090452014216LGN00,LC80090452014216LGN00
1,N,LC80090472014216LGN00,9,47,9,47,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,8/4/14,2014:216:15:14:40.5488040,2014:216:15:15:12.5491212,9,2.4,65.58089062,89.52333835,5.126,6.082,Yes,"18¡47'14.75""N","72¡50'33.90""W","19¡50'05.93""N","73¡31'50.16""W","19¡28'06.24""N","71¡45'28.15""W","17¡43'45.05""N","72¡09'57.28""W","18¡05'51.61""N","73¡55'12.68""W",18.78743,-72.84275,19.83498,-73.5306,19.4684,-71.75782,17.72918,-72.16591,18.09767,-73.92019,LC80090472014216LGN00,LC80090472014216LGN00,LC80090472014216LGN00
1,N,LC80110482014214LGN00,11,48,11,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,8/2/14,2014:214:15:27:25.5564525,2014:214:15:27:57.5567757,9,14.91,65.30065569,85.07313437,6.728,5.999,Yes,"17¡20'39.62""N","76¡15'35.39""W","18¡23'30.34""N","76¡56'32.75""W","18¡01'35.00""N","75¡11'04.42""W","16¡17'11.47""N","75¡35'14.42""W","16¡39'14.15""N","77¡19'42.02""W",17.34434,-76.25983,18.39176,-76.94243,18.02639,-75.18456,16.28652,-75.58734,16.65393,-77.32834,LC80110482014214LGN00,LC80110482014214LGN00,LC80110482014214LGN00
1,N,LC80130462014212LGN00,13,46,13,46,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/31/14,2014:212:15:38:57.5633757,2014:212:15:39:29.5636929,9,6.38,65.87528502,90.2804947,6.073,5.706,Yes,"20¡13'47.39""N","78¡41'05.46""W","21¡16'39.04""N","79¡22'42.96""W","20¡54'34.24""N","77¡35'20.83""W","19¡10'16.03""N","78¡00'11.02""W","19¡32'27.20""N","79¡46'20.42""W",20.22983,-78.68485,21.27751,-79.3786,20.90951,-77.58912,19.17112,-78.00306,19.54089,-79.77234,LC80130462014212LGN00,LC80130462014212LGN00,LC80130462014212LGN00
1,N,LC80130442014212LGN00,13,44,13,44,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/31/14,2014:212:15:38:10.5629010,2014:212:15:38:41.5632141,9,11.31,66.14062129,96.9580741,4.925,4.359,Yes,"23¡06'46.22""N","78¡00'19.22""W","24¡09'39.74""N","78¡42'43.81""W","23¡47'23.24""N","76¡53'06.65""W","22¡03'11.16""N","77¡18'44.46""W","22¡25'32.81""N","79¡06'56.02""W",23.11284,-78.00534,24.16104,-78.71217,23.78979,-76.88518,22.0531,-77.31235,22.42578,-79.11556,LC80130442014212LGN00,LC80130442014212LGN00,LC80130442014212LGN00
1,N,LC80130452014212LGN00,13,45,13,45,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/31/14,2014:212:15:38:34.5631434,2014:212:15:39:05.5634505,9,9.4,66.04897631,93.59660026,6.201,5.626,Yes,"21¡40'17.40""N","78¡20'51.00""W","22¡43'10.02""N","79¡02'51.29""W","22¡20'59.64""N","77¡14'24.29""W","20¡36'44.17""N","77¡39'37.12""W","20¡59'00.31""N","79¡26'45.10""W",21.6715,-78.3475,22.71945,-79.04758,22.3499,-77.24008,20.61227,-77.66031,20.98342,-79.44586,LC80130452014212LGN00,LC80130452014212LGN00,LC80130452014212LGN00
1,N,LC80060472014211LGN00,6,47,6,47,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/30/14,2014:211:14:56:05.5376505,2014:211:14:56:37.5379737,9,10.83,65.63067222,86.41520803,6.189,6.457,Yes,"18¡47'14.06""N","68¡12'01.12""W","19¡50'05.32""N","68¡53'17.84""W","19¡28'05.38""N","67¡06'54.90""W","17¡43'44.29""N","67¡31'24.13""W","18¡05'51.14""N","69¡16'40.44""W",18.78724,-68.20031,19.83481,-68.88829,19.46816,-67.11525,17.72897,-67.52337,18.09754,-69.2779,LC80060472014211LGN00,LC80060472014211LGN00,LC80060472014211LGN00
1,N,LC80060482014211LGN00,6,48,6,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/30/14,2014:211:14:56:29.5378929,2014:211:14:57:01.5382101,9,7.85,65.28385027,83.25676121,6.529,6.673,Yes,"17¡20'39.08""N","68¡31'46.02""W","18¡23'29.90""N","69¡12'43.67""W","18¡01'34.39""N","67¡27'14.87""W","16¡17'10.82""N","67¡51'24.88""W","16¡39'13.72""N","69¡35'52.94""W",17.34419,-68.52945,18.39164,-69.21213,18.02622,-67.45413,16.28634,-67.85691,16.65381,-69.59804,LC80060482014211LGN00,LC80060482014211LGN00,LC80060482014211LGN00
