latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
13.637,98.354,313.2,4.1,1.9,2015-03-30, 0325,T,24,5.0       ,295.5,57.8
10.692,98.543,315,3.6,1.8,2015-03-30, 0325,T,39,5.0       ,292.8,54
19.696,100.838,317.4,3.2,1.7,2015-03-30, 0320,T,67,5.0       ,294.4,70.3
19.68,100.836,314.4,3.2,1.7,2015-03-30, 0320,T,50,5.0       ,294.5,48.7
19.185,100.809,314.5,3.2,1.7,2015-03-30, 0320,T,61,5.0       ,294.8,41.9
15.409,100.716,323.5,2.8,1.6,2015-03-30, 0320,T,76,5.0       ,296,55.7
15.407,100.709,321.5,2.8,1.6,2015-03-30, 0320,T,74,5.0       ,296.1,45.5
32.348,99.732,330.6,4.1,1.9,2015-03-30, 0455,T,83,5.0       ,296,245.4
32.338,99.77,310.7,4.1,1.9,2015-03-30, 0455,T,33,5.0       ,296.2,54.1
32.342,99.726,328.5,4.1,1.9,2015-03-30, 0455,T,81,5.0       ,296,220.3
32.333,99.765,315.2,4.1,1.9,2015-03-30, 0455,T,59,5.0       ,296.1,88.2
30.641,98.498,321.8,3.8,1.8,2015-03-30, 0455,T,70,5.0       ,305.3,65.3
30.633,98.533,323.9,3.8,1.8,2015-03-30, 0455,T,72,5.0       ,308.6,88.9
30.649,98.493,319.8,3.8,1.8,2015-03-30, 0455,T,66,5.0       ,304.8,50.4
30.641,98.528,328.4,3.8,1.8,2015-03-30, 0455,T,81,5.0       ,308.9,135.1
27.08,93.746,318.6,2.1,1.4,2015-03-30, 0455,T,65,5.0       ,295.2,38.7
27.08,93.74,322.6,2.1,1.4,2015-03-30, 0455,T,75,5.0       ,295.3,55.3
26.571,92.324,320.9,1.8,1.3,2015-03-30, 0500,T,73,5.0       ,281.1,48.3
25.155,96.103,312.9,3.5,1.8,2015-03-30, 0500,T,43,5.0       ,295.7,49
24.58,94.873,315.1,2.9,1.6,2015-03-30, 0500,T,63,5.0       ,298.8,33.1
24.905,89.607,317.5,1.3,1.1,2015-03-30, 0500,T,34,5.0       ,299,14.9
24.161,92.591,311.8,2.1,1.4,2015-03-30, 0500,T,51,5.0       ,294.1,20.9
24.159,92.585,314.6,2.1,1.4,2015-03-30, 0500,T,62,5.0       ,295.1,28.9
24.61,87.931,334.1,1.1,1,2015-03-30, 0500,T,86,5.0       ,301.2,31.9
24.261,88.602,321.6,1.2,1.1,2015-03-30, 0500,T,74,5.0       ,295.6,14.6
24.26,88.613,329,1.2,1.1,2015-03-30, 0500,T,82,5.0       ,297.7,27
