latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
26.581,101.665,322.6,1.2,1.1,2015-04-07, 0410,T,58,5.0       ,299.2,17
24.149,99.964,327.2,1.1,1,2015-04-07, 0410,T,65,5.0       ,302.1,25.4
23.636,98.798,321.1,1,1,2015-04-07, 0410,T,73,5.0       ,299.4,14.6
23.505,98.564,312.9,1,1,2015-04-07, 0410,T,51,5.0       ,297.8,7.3
23.743,96.169,316.6,1.1,1,2015-04-07, 0410,T,52,5.0       ,298.2,9.2
23.383,98.636,322.7,1,1,2015-04-07, 0410,T,75,5.0       ,296.3,18.4
23.382,98.645,341.5,1,1,2015-04-07, 0410,T,91,5.0       ,297.6,48
23.351,98.789,326,1,1,2015-04-07, 0410,T,79,5.0       ,299.8,20.8
23.35,98.799,325.3,1,1,2015-04-07, 0410,T,78,5.0       ,299.7,20.6
23.342,98.787,333.8,1,1,2015-04-07, 0410,T,86,5.0       ,299.8,32.2
23.341,98.797,329.7,1,1,2015-04-07, 0410,T,83,5.0       ,298.4,26.3
23.285,98.553,315.4,1,1,2015-04-07, 0410,T,59,5.0       ,299.4,8.1
23.24,98.42,318.9,1,1,2015-04-07, 0410,T,66,5.0       ,300,11.3
23.155,98.922,319,1,1,2015-04-07, 0410,T,70,5.0       ,299.1,14.1
23.154,98.932,318,1,1,2015-04-07, 0410,T,69,5.0       ,297.7,13.1
23.015,99.417,319.3,1,1,2015-04-07, 0410,T,71,5.0       ,297.1,16.3
22.776,100.909,312.1,1.2,1.1,2015-04-07, 0410,T,52,5.0       ,297.7,12
23.069,98.881,314.3,1,1,2015-04-07, 0410,T,45,5.0       ,301.1,10.4
22.982,99.267,316.8,1,1,2015-04-07, 0410,T,33,5.0       ,299.6,12.3
22.973,99.266,313.6,1,1,2015-04-07, 0410,T,20,5.0       ,297.1,8.3
22.992,99.021,312.5,1,1,2015-04-07, 0410,T,54,5.0       ,298.1,8.4
23.038,98.541,363.5,1,1,2015-04-07, 0410,T,100,5.0       ,297.9,101.2
23.036,98.551,419,1,1,2015-04-07, 0410,T,100,5.0       ,303.7,383.3
22.983,98.84,315.2,1,1,2015-04-07, 0410,T,63,5.0       ,302.4,10.6
22.909,99.02,331.1,1,1,2015-04-07, 0410,T,84,5.0       ,296.2,31
22.9,99.019,321.4,1,1,2015-04-07, 0410,T,74,5.0       ,297.2,18.9
23.039,97.973,326.3,1,1,2015-04-07, 0410,T,79,5.0       ,303.7,19.2
22.813,99.348,310.9,1,1,2015-04-07, 0410,T,45,5.0       ,295.9,10
22.897,98.62,314.5,1,1,2015-04-07, 0410,T,61,5.0       ,300.6,10.1
22.984,97.908,318.1,1,1,2015-04-07, 0410,T,53,5.0       ,302.5,9.6
22.846,98.713,312.8,1,1,2015-04-07, 0410,T,40,5.0       ,299.5,7.2
22.794,98.994,315.5,1,1,2015-04-07, 0410,T,56,5.0       ,299.2,10.4
22.764,99.129,310.8,1,1,2015-04-07, 0410,T,36,5.0       ,297,7.6
22.761,99.089,325,1,1,2015-04-07, 0410,T,78,5.0       ,297.9,23.2
22.759,99.098,314.6,1,1,2015-04-07, 0410,T,61,5.0       ,296.2,11.2
22.752,99.087,355.4,1,1,2015-04-07, 0410,T,98,5.0       ,298.9,80.6
22.75,99.097,335,1,1,2015-04-07, 0410,T,87,5.0       ,296.1,38.6
22.756,98.998,333.8,1,1,2015-04-07, 0410,T,86,5.0       ,299,36.7
22.938,97.654,319,1,1,2015-04-07, 0410,T,70,5.0       ,303.8,8
22.796,98.616,316.8,1,1,2015-04-07, 0410,T,67,5.0       ,303.1,12.2
22.702,99.052,313.4,1,1,2015-04-07, 0410,T,38,5.0       ,299.7,7.8
22.762,98.594,319,1,1,2015-04-07, 0410,T,71,5.0       ,304.7,15.3
22.761,98.604,317.7,1,1,2015-04-07, 0410,T,68,5.0       ,301.7,13.6
22.554,99.937,312.3,1.1,1,2015-04-07, 0410,T,27,5.0       ,298.7,9.4
22.863,97.793,321.3,1,1,2015-04-07, 0410,T,68,5.0       ,303.3,10.9
22.71,98.575,311.7,1,1,2015-04-07, 0410,T,50,5.0       ,297.4,9.3
22.692,98.691,318.3,1,1,2015-04-07, 0410,T,69,5.0       ,303.6,15.2
22.691,98.7,313.9,1,1,2015-04-07, 0410,T,43,5.0       ,300.7,9.6
22.688,98.72,316.3,1,1,2015-04-07, 0410,T,57,5.0       ,303,12.2
22.694,98.309,323.9,1,1,2015-04-07, 0410,T,77,5.0       ,299,20.4
22.605,98.899,315.9,1,1,2015-04-07, 0410,T,64,5.0       ,301.4,11.5
22.581,98.689,313,1,1,2015-04-07, 0410,T,55,5.0       ,299.7,9.8
22.553,98.874,316.1,1,1,2015-04-07, 0410,T,40,5.0       ,302.4,10.5
22.543,98.882,315.8,1,1,2015-04-07, 0410,T,40,5.0       ,302,10.6
22.489,98.812,316.1,1,1,2015-04-07, 0410,T,58,5.0       ,302.7,10.8
22.463,98.742,310.9,1,1,2015-04-07, 0410,T,28,5.0       ,298.5,7.4
22.527,97.945,333.7,1,1,2015-04-07, 0410,T,86,5.0       ,305,26.8
22.012,100.753,316.2,1.2,1.1,2015-04-07, 0410,T,50,5.0       ,300,11.3
22.628,96.66,318.1,1,1,2015-04-07, 0410,T,62,5.0       ,301.6,8.9
22.393,98.289,321.9,1,1,2015-04-07, 0410,T,74,5.0       ,298.4,16.3
22.384,98.287,319.5,1,1,2015-04-07, 0410,T,71,5.0       ,298.8,13
21.976,100.775,316.7,1.2,1.1,2015-04-07, 0410,T,37,5.0       ,300.1,11.3
